,Date,Season,home,visitor,FT,hgoal,vgoal
12841,2008-10-29,2008,Hertha BSC,Hannover 96,3-0,3,0
12842,2008-10-29,2008,VfL Bochum,1899 Hoffenheim,1-3,1,3
12843,2008-10-29,2008,1. FC Koln,Borussia Dortmund,0-1,0,1
12844,2008-10-31,2008,Bayer Leverkusen,VfL Wolfsburg,2-0,2,0
12845,2008-11-01,2008,Bayern Munchen,Arminia Bielefeld,3-1,3,1
12846,2008-11-01,2008,Werder Bremen,Hertha BSC,5-1,5,1
12847,2008-11-01,2008,VfB Stuttgart,1. FC Koln,1-3,1,3
12848,2008-11-01,2008,Hannover 96,Hamburger SV,3-0,3,0
12849,2008-11-01,2008,Energie Cottbus,FC Schalke 04,0-2,0,2
12850,2008-11-01,2008,1899 Hoffenheim,Karlsruher SC,4-1,4,1
12851,2008-11-02,2008,Borussia Dortmund,VfL Bochum,1-1,1,1
12852,2008-11-02,2008,Bor. Monchengladbach,Eintracht Frankfurt,1-2,1,2
12853,2008-11-07,2008,1. FC Koln,Hannover 96,2-1,2,1
12854,2008-11-08,2008,Hamburger SV,Borussia Dortmund,2-1,2,1
12855,2008-11-08,2008,VfL Wolfsburg,Energie Cottbus,3-0,3,0
12856,2008-11-08,2008,Karlsruher SC,Bayer Leverkusen,3-3,3,3
12857,2008-11-08,2008,VfL Bochum,Werder Bremen,0-0,0,0
12858,2008-11-08,2008,Arminia Bielefeld,Bor. Monchengladbach,0-2,0,2
12859,2008-11-09,2008,FC Schalke 04,Bayern Munchen,1-2,1,2
12860,2008-11-09,2008,Eintracht Frankfurt,VfB Stuttgart,2-2,2,2
12861,2008-11-09,2008,Hertha BSC,1899 Hoffenheim,1-0,1,0
12862,2008-11-14,2008,Hannover 96,VfL Bochum,1-1,1,1
12863,2008-11-15,2008,VfB Stuttgart,Arminia Bielefeld,0-0,0,0
12864,2008-11-15,2008,Bayer Leverkusen,FC Schalke 04,2-1,2,1
12865,2008-11-15,2008,Hertha BSC,Hamburger SV,2-1,2,1
12866,2008-11-15,2008,Borussia Dortmund,Eintracht Frankfurt,4-0,4,0
12867,2008-11-15,2008,Energie Cottbus,Karlsruher SC,1-0,1,0
12868,2008-11-15,2008,Bor. Monchengladbach,Bayern Munchen,2-2,2,2
12869,2008-11-15,2008,1899 Hoffenheim,VfL Wolfsburg,3-2,3,2
12870,2008-11-16,2008,Werder Bremen,1. FC Koln,3-1,3,1
12871,2008-11-21,2008,Karlsruher SC,Borussia Dortmund,0-1,0,1
12872,2008-11-22,2008,Bayern Munchen,Energie Cottbus,4-1,4,1
12873,2008-11-22,2008,FC Schalke 04,Bor. Monchengladbach,3-1,3,1
12874,2008-11-22,2008,VfL Wolfsburg,VfB Stuttgart,4-1,4,1
12875,2008-11-22,2008,Eintracht Frankfurt,Hannover 96,4-0,4,0
12876,2008-11-22,2008,VfL Bochum,Hertha BSC,2-3,2,3
